fetched_at,rank,username,total_points
2026-04-25T12:34:36Z,3,johnr622,90773119
2026-04-25T12:34:36Z,4,Sprintbooter,85780818
2026-04-25T12:34:36Z,5,jupiter0477,80405967
2026-04-25T12:34:36Z,6,PossiblyLlama,79626381
2026-04-25T12:34:36Z,7,EyeRockett,78816944
2026-04-25T12:34:36Z,8,WhereIsPerry0,77095934
2026-04-25T12:34:36Z,9,TealPlatypus747,76644677
2026-04-25T12:34:36Z,10,Mr_Suter,76137956
2026-04-25T12:34:36Z,11,ArcticGalaxy14,75448655
2026-04-25T12:34:36Z,12,Doobydoobydoo_bah,75164523
2026-04-25T12:34:36Z,13,DiscoGuy86,72283126
2026-04-25T12:34:36Z,14,ArcticGalaxy149,70949507
2026-04-25T12:34:36Z,15,Ilikecheesepuffs26,70549182
2026-04-25T12:34:36Z,16,PartyCorgi_70,69541594
2026-04-25T12:34:36Z,17,Panthers_1996,69102848
2026-04-25T12:34:36Z,18,Odierulz01,68854110
2026-04-25T12:34:36Z,19,ArcticGalaxy219,68612070
2026-04-25T12:34:36Z,20,AgentP_10928,68318429
2026-04-25T12:34:36Z,21,Josep_xD2,67727976
2026-04-25T12:34:36Z,22,ArcticGalaxy199,66991882
2026-04-25T12:34:36Z,23,ArcticGalaxy189,66516242
2026-04-25T12:34:36Z,24,ArcticGalaxy179,66012998
2026-04-25T12:34:36Z,25,WhereIsPerry20,65747399
2026-04-25T12:34:36Z,26,TealPlatypus777,65745484
2026-04-25T12:34:36Z,27,Agentp_3928,65503714
2026-04-25T12:34:36Z,28,AgentP_1928,65373577
2026-04-25T12:34:36Z,29,AgentP_2928,65337074
2026-04-25T12:34:36Z,30,AgentP_8928,60628031
2026-04-25T12:34:36Z,31,testbeeswS,60296171
2026-04-25T12:34:36Z,32,MrChicken66666,58050407
2026-04-25T12:34:36Z,33,ArcticGalaxy209,56705392
2026-04-25T12:34:36Z,34,TealPlatypus757,55860586
2026-04-25T12:34:36Z,35,AgentP_4928,55592028
